13:08:19 [Skill] INFO  Skill:139 - Connecting to Furhat server on 192.168.1.250:1932
13:08:19 [Skill] WARN  BrokerClient: 82 - Connection refused (Connection refused) (is the server running and reachable?)
13:08:19 [Skill] WARN  BrokerClient: 82 - Connection refused (Connection refused) (is the server running and reachable?)
13:08:19 [Skill] WARN  BrokerClient: 82 - Connection refused (Connection refused) (is the server running and reachable?)
13:08:19 [Skill] WARN  BrokerClient: 82 - Connection refused (Connection refused) (is the server running and reachable?)
13:08:19 [Skill] WARN  BrokerClient: 82 - Connection refused (Connection refused) (is the server running and reachable?)
13:08:20 [Skill] WARN  BrokerClient: 82 - Connection refused (Connection refused) (is the server running and reachable?)
13:08:20 [Skill] WARN  BrokerClient: 82 - Connection refused (Connection refused) (is the server running and reachable?)
13:08:20 [Skill] WARN  BrokerClient: 82 - Connection refused (Connection refused) (is the server running and reachable?)
13:08:20 [Skill] WARN  BrokerClient: 82 - Connection refused (Connection refused) (is the server running and reachable?)
13:08:20 [Skill] WARN  BrokerClient: 82 - Connection refused (Connection refused) (is the server running and reachable?)
13:08:20 [Skill] WARN  BrokerClient: 82 - Connection refused (Connection refused) (is the server running and reachable?)
13:08:20 [Skill] WARN  BrokerClient: 82 - Connection refused (Connection refused) (is the server running and reachable?)
